district_name,district_geoid,median_household_income,median_family_income,labor_force_pct,unemployment_pct,uninsured_pct,snap_pct,owner_occ_pct,renter_occ_pct,median_home_value
"Alabaster City School District, AL",100190,89423,102018,NA,3,8.2,5,85.3,14.7,227300
"Albertville City School District, AL",100005,55933,65714,NA,6,12.2,10.2,68.5,31.5,149400
"Alexander City City School District, AL",100030,45165,63716,NA,7.5,9.7,20,67.7,32.3,127200
"Andalusia City School District, AL",100060,44196,59951,NA,6.6,11.2,16.1,63.5,36.5,140400
"Anniston City School District, AL",100090,45642,64070,NA,5.5,13.1,22.5,61.3,38.7,131800
"Arab City School District, AL",100100,56471,80236,NA,3,9.3,11,67.8,32.2,183800
"Athens City School District, AL",100120,57444,87641,NA,4.3,10.4,11.2,63.2,36.8,224200
"Attalla City School District, AL",100180,51875,70405,NA,2.5,11.9,8.3,75.5,24.5,106300
"Auburn City School District, AL",100210,55509,104540,NA,3,5.5,5.7,51.3,48.7,327000
"Autauga County School District, AL",100240,68315,83790,NA,2.8,7.4,9,75.5,24.5,191800
"Baldwin County School District, AL",100270,71830,90520,NA,3.5,8.9,7.4,78.8,21.2,260700
"Barbour County School District, AL",100300,39801,54179,NA,6.4,9.9,20.8,74.3,25.7,79200
"Bessemer City School District, AL",100330,34953,48803,NA,10.8,14.2,28.5,54.3,45.7,118600
"Bibb County School District, AL",100360,50669,70064,NA,8.7,8.4,20.1,75.7,24.3,120100
"Birmingham City School District, AL",100390,42464,55541,NA,7.5,12.5,22,45.9,54.1,123000
"Blount County School District, AL",100420,59536,73963,NA,5.9,9.8,10.6,83.2,16.8,158000
"Boaz City School District, AL",100012,43276,63052,NA,2,11.3,18.6,66.2,33.8,131500
"Brewton City School District, AL",100450,45881,63214,NA,5,8,18.8,63.3,36.7,133800
"Bullock County School District, AL",100480,36136,43750,NA,3.7,12.2,28.1,64.7,35.3,87700
"Butler County School District, AL",100510,44429,59217,NA,6.8,11,15.4,70.8,29.2,94800
"Calhoun County School District, AL",100540,59338,72340,NA,8.1,9.4,15.9,80.4,19.6,132800
"Chambers County School District, AL",100600,49107,59808,NA,3.1,10.5,15.4,74.5,25.5,121900
"Cherokee County School District, AL",100630,46621,63429,NA,4,10.2,11.3,79.7,20.3,158700
"Chickasaw City School District, AL",100188,38985,49189,NA,4.7,11.8,26.5,47.7,52.3,89300
"Chilton County School District, AL",100660,62471,72090,NA,5.3,11.5,13,75,25,136000
"Choctaw County School District, AL",100690,43299,64349,NA,5.2,8.2,18.3,82,18,101600
"Clarke County School District, AL",100720,47453,66412,NA,13.3,9.8,20.2,76.3,23.7,119500
"Clay County School District, AL",100750,48074,60216,NA,5.7,8.1,13.6,78.3,21.7,144100
"Cleburne County School District, AL",100780,51571,72354,NA,2.6,9.9,13.9,78,22,132800
"Coffee County School District, AL",100810,63304,79333,NA,4.9,12.6,11,83.4,16.6,140400
"Colbert County School District, AL",100840,60031,67866,NA,4.2,9.3,17.2,82,18,125200
"Conecuh County School District, AL",100870,39888,55380,NA,4.4,8.6,14.9,74.7,25.3,98800
"Coosa County School District, AL",100900,52279,64482,NA,4.4,6.2,11.5,81.2,18.8,109500
"Covington County School District, AL",100930,54127,70248,NA,4.8,8.8,11.9,80.7,19.3,128300
"Crenshaw County School District, AL",100960,48557,69602,NA,6.1,8.5,17,74.6,25.4,100400
"Cullman City School District, AL",100990,56894,80539,NA,2.8,6.9,11.5,59.3,40.7,193200
"Cullman County School District, AL",101020,58555,70974,NA,4.7,11.5,9.6,80.8,19.2,158800
"Dale County School District, AL",101050,53723,67500,NA,5.5,10.2,16.8,71.2,28.8,119200
"Daleville City School District, AL",101080,56013,75394,NA,6.9,11.3,17.9,64.3,35.7,119100
"Dallas County School District, AL",101110,43536,58281,NA,6,9.4,29.9,76.4,23.6,90300
"Decatur City School District, AL",101170,55164,69560,NA,5.1,12.1,13,63.8,36.2,170000
"DeKalb County School District, AL",101140,50162,61631,NA,3.4,14.5,15.7,76.2,23.8,124400
"Demopolis City School District, AL",101200,51364,68323,NA,0,9.7,20.5,53.5,46.5,198600
"Dothan City School District, AL",101230,53704,73395,NA,5.1,11.3,15.3,58.7,41.3,175900
"Elba City School District, AL",101260,41775,63958,NA,8.1,10.5,13.7,79.7,20.3,91900
"Elmore County School District, AL",101290,75103,87184,NA,4.1,8.2,10.1,78.4,21.6,202700
"Enterprise City School District, AL",101320,64888,75106,NA,4.1,9.6,12.4,57.9,42.1,190700
"Escambia County School District, AL",101350,39954,55811,NA,10,13.1,12.9,67.8,32.2,119800
"Etowah County School District, AL",101380,58837,74153,NA,4.8,8.2,9.6,83.3,16.7,169000
"Eufaula City School District, AL",101410,39511,57174,NA,5.2,11.3,26.1,57.6,42.4,134100
"Fairfield City School District, AL",101440,45646,54254,NA,8.3,12.2,21.6,56.3,43.7,117400
"Fayette County School District, AL",101470,45686,61376,NA,10.4,10.5,20.4,74.3,25.7,110600
"Florence City School District, AL",101530,47048,62953,NA,5.7,12.1,15.7,49.9,50.1,168800
"Fort Payne City School District, AL",101560,44549,55465,NA,6.1,14.9,19.3,65.7,34.3,145600
"Fort Rucker School District, AL",100001,72681,66471,NA,16.1,0.4,0.8,0.8,99.2,NA
"Franklin County School District, AL",101590,45656,62868,NA,4,11.8,16.8,77.1,22.9,130400
"Gadsden City School District, AL",101620,39696,55134,NA,8.8,18.2,23.5,55.5,44.5,96900
"Geneva City School District, AL",101640,46151,48915,NA,6,10.8,18.8,68.7,31.3,125300
"Geneva County School District, AL",101660,49948,61681,NA,3.3,12.5,15.4,77.9,22.1,119100
"Greene County School District, AL",101680,32796,53019,NA,4.5,13.9,25.7,73.5,26.5,88800
"Guntersville City School District, AL",101690,61453,86204,NA,3.7,8.8,16.5,65.8,34.2,268700
"Hale County School District, AL",101710,35851,64661,NA,7.6,7,25.1,77.5,22.5,109400
"Haleyville City School District, AL",101720,53494,62014,NA,4.8,11.3,13.4,69,31,104100
"Hartselle City School District, AL",101730,64552,89766,NA,4,4.8,14.5,74,26,174800
"Henry County School District, AL",101740,58395,75475,NA,5.3,9.6,15.8,81.6,18.4,132400
"Homewood City School District, AL",101760,97366,147785,NA,2,4.3,2,63.6,36.4,463500
"Hoover City School District, AL",100007,100905,126848,NA,3.9,4.4,4.8,69,31,364800
