district_key,total_rev_2122,total_exp_2122,cap_outlay_2122,debt_out_end_2122,debt_out_start_2122,debt_issued_2122,debt_retired_2122,debt_service_funds_2122,bond_funds_2122,other_funds_2122,GeoId,debt_district_only,debt_expanded
(ILC) CHOCTAW NATION | OKLAHOMA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4000763,NA,0
(ILC) FIVE-STAR | OKLAHOMA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4000762,NA,0
(ILC) OSAGE COUNTY | OKLAHOMA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4000758,NA,0
(ILC) POOLED INVESTMENT | OKLAHOMA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4000764,NA,0
(ILC) SEMINOLE COUNTY | OKLAHOMA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4000759,NA,0
(ILC) TRI-COUNTY | OKLAHOMA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4000757,NA,0
21ST CENTURY CHARTER SCH OF GARY | INDIANA,24392000,24831000,4268000,13430000,14300000,1000000,1870000,0,0,5121000,1800046,13430000,18551000
21ST CENTURY CYBER CS | PENNSYLVANIA,26079000,22029000,273000,786000,5212000,25000,4450000,0,0,18840000,4200091,786000,19626000
21ST CENTURY PUBLIC ACADEMY | NEW MEXICO,4988000,5165000,815000,0,0,0,0,0,1088000,133000,3500187,0,1221000
A E R O SPEC EDUC COOP | ILLINOIS,42595000,39003000,11511000,4830000,5030000,0,200000,0,13949000,14629000,1700024,4830000,33408000
A W BEATTIE CAREER CENTER | PENNSYLVANIA,10947000,10120000,884000,8977000,9938000,117000,1078000,0,278000,4100000,4280010,8977000,13355000
A W BROWN LEADERSHIP ACADEMY | TEXAS,17664000,15309000,0,0,0,0,0,0,0,3525000,4800095,0,3525000
A+ ACADEMY | TEXAS,22814000,18927000,0,0,0,0,0,0,0,4843000,4800203,0,4843000
A+ ARTS ACADEMY | OHIO,7541000,6448000,90000,0,0,0,0,0,0,1117000,3900305,0,1117000
A+ CHARTER SCHOOLS (1000166) | ARIZONA,706000,3544000,800000,9670000,9670000,0,0,453000,1160000,0,0400998,9670000,11283000
A+ CHILDREN'S ACADEMY | OHIO,1695000,1417000,46000,0,0,0,0,0,0,286000,3901480,0,286000
A+ UNLIMITED POTENTIAL | TEXAS,2764000,2701000,0,0,0,0,0,0,0,670000,4801453,0,670000
A-C CENTRAL CUSD 262 | ILLINOIS,7726000,6542000,476000,3028000,1286000,2250000,508000,350000,163000,7460000,1700105,3028000,11001000
A. LINWOOD HOLTON GOVERNOR'S SCHOOL | VIRGINIA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5100033,NA,0
A.C.E. ACADEMY | NORTH CAROLINA,5046000,5305000,340000,0,0,0,0,0,0,829000,3700372,0,829000
A.C.G.C. PUBLIC SCHOOL DISTRICT | MINNESOTA,16075000,15727000,1359000,18537000,19333000,0,796000,705000,0,4583000,2700106,18537000,23825000
ABBEVILLE 60 | SOUTH CAROLINA,52365000,61224000,22553000,16095000,260000,17897000,2062000,903000,12511000,9633000,4500690,16095000,39142000
ABBOTSFORD SCHOOL DISTRICT | WISCONSIN,14363000,11686000,1540000,4012000,3295000,2055000,1339000,27000,1258000,5690000,5500030,4012000,10987000
ABBOTT ISD | TEXAS,4927000,3781000,66000,3205000,3410000,0,205000,360000,0,1834000,4807380,3205000,5399000
ABBOTT UNION FREE SCHOOL DISTRICT | NEW YORK,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3619710,NA,0
ABBY KELLEY FOSTER CHARTER PUBLIC (DISTRICT) | MASSACHUSETTS,29684000,26718000,56000,0,0,0,0,0,0,0,2500051,0,0
ABC UNIFIED | CALIFORNIA,339186000,346055000,45233000,69704000,77910000,0,8206000,12101000,18198000,124626000,0601620,69704000,224629000
ABERDEEN DISTRICT | IDAHO,10356000,9146000,1009000,9560000,10045000,0,488000,786000,84000,2252000,1600030,9560000,12682000
ABERDEEN SCHOOL DIST | MISSISSIPPI,16910000,15294000,834000,4641000,5137000,97000,592000,1466000,0,8374000,2800360,4641000,14481000
ABERDEEN SCHOOL DISTRICT | WASHINGTON,61795000,62215000,1899000,7540000,10425000,0,2885000,2534000,2665000,0,5300030,7540000,12739000
ABERDEEN SCHOOL DISTRICT 06-1 | SOUTH DAKOTA,55800000,50901000,5580000,18865000,18029000,4130000,3294000,1407000,0,23566000,4602070,18865000,43838000
ABERNATHY ISD | TEXAS,13841000,11337000,343000,15495000,16670000,0,1175000,860000,0,5149000,4807410,15495000,21504000
ABILENE | KANSAS,21645000,22242000,2546000,22775000,24210000,0,1435000,1975000,0,3489000,2003180,22775000,28239000
ABILENE ISD | TEXAS,220282000,221382000,29939000,209775000,218740000,0,8965000,0,2006000,65582000,4807440,209775000,277363000
ABINGDON CUSD 217 | ILLINOIS,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1739660,NA,0
ABINGDON-AVON CUSD 276 | ILLINOIS,17032000,16461000,3434000,4230000,4375000,0,145000,301000,1185000,18547000,1701413,4230000,24263000
ABINGTON | MASSACHUSETTS,43281000,55854000,9120000,35503000,37503000,0,2000000,0,0,0,2501650,35503000,35503000
ABINGTON HEIGHTS SD | PENNSYLVANIA,54551000,52677000,70000,2353000,3173000,0,820000,0,5385000,15051000,4202010,2353000,22789000
ABINGTON SD | PENNSYLVANIA,175259000,185838000,19385000,145630000,151435000,0,5805000,0,6892000,47224000,4202040,145630000,199746000
ABLE CHARTER DISTRICT | CALIFORNIA,15828000,14507000,23000,0,0,0,0,0,0,0,0601628,0,0
ABQ SCHOOL OF EXCELLENCE | NEW MEXICO,10987000,11786000,1805000,0,0,0,0,0,2280000,1419000,3500122,0,3699000
ABQ SIGN LANGUAGE ACADEMY | NEW MEXICO,4402000,4586000,409000,0,0,0,0,0,505000,1875000,3500123,0,2380000
ABSAROKEE ELEM | MONTANA,2366000,2089000,62000,8000,8000,0,0,0,59000,1589000,3001710,8000,1656000
ABSAROKEE H S | MONTANA,2120000,1607000,59000,8000,8000,0,0,0,63000,2410000,3001740,8000,2481000
ABSECON PUBLIC SCHOOLS DISTRICT | NEW JERSEY,25906000,24172000,561000,0,0,0,0,0,0,5797000,3400660,0,5797000
