Agency Name,State Name [District] Latest available year,Total Students All Grades (Excludes AE) [District] 2023-24,Agency ID - NCES Assigned [District] Latest available year,State Abbr [District] Latest available year,County Name [District] 2023-24,County Number [District] 2023-24,ANSI/FIPS State Code [District] Latest available year,Total Number of Public Schools [Public School] 2023-24,Total Number Operational Charter Schools [Public School] 2023-24,Total Number Operational Schools [Public School] 2023-24
21ST CENTURY CHARTER SCH OF GARY,Indiana,1213,1800046,IN ,Marion County,18097,18,1,1,1
21ST CENTURY CYBER CS,Pennsylvania,1103,4200091,PA ,Chester County,42029,42,1,1,1
21ST CENTURY PUBLIC ACADEMY,NEW MEXICO,378,3500187,NM ,Bernalillo County,35001,35,1,1,1
A E R O  SPEC EDUC COOP,Illinois,,1700024,IL ,Cook County,17031,17,1,0,1
A W BEATTIE CAREER CENTER,Pennsylvania,5,4280010,PA ,Allegheny County,42003,42,1,0,1
A W BROWN LEADERSHIP ACADEMY,Texas,778,4800095,TX ,Dallas County,48113,48,2,2,2
A+ ACADEMY,Texas,1649,4800203,TX ,Dallas County,48113,48,2,2,2
A+ ARTS ACADEMY,Ohio,366,3900305,OH ,Franklin County,39049,39,1,1,1
A+ CHARTER SCHOOLS (1000166),ARIZONA,306,400998,AZ ,Pinal County,4021,4,1,1,1
A+ CHILDREN'S ACADEMY,Ohio,87,3901480,OH ,Franklin County,39049,39,1,1,1
A+ UNLIMITED POTENTIAL,TEXAS,150,4801453,TX ,Harris County,48201,48,1,1,1
A-C CENTRAL CUSD 262,Illinois,328,1700105,IL ,Cass County,17017,17,3,0,3
A. LINWOOD HOLTON GOVERNOR'S SCHOOL,Virginia,,5100033,VA ,Washington County,51191,51,1,0,1
A.C.E. ACADEMY,North Carolina,438,3700372,NC ,Cabarrus County,37025,37,1,1,1
A.C.G.C. PUBLIC SCHOOL DISTRICT,Minnesota,880,2700106,MN ,Meeker County,27093,27,3,0,3
ABBEVILLE 60,South Carolina,2802,4500690,SC ,Abbeville County,45001,45,9,0,9
ABBOTSFORD SCHOOL DISTRICT,Wisconsin,815,5500030,WI ,Clark County,55019,55,2,0,2
ABBOTT ISD,Texas,284,4807380,TX ,Hill County,48217,48,2,0,1
ABBY KELLEY FOSTER CHARTER PUBLIC (DISTRICT),Massachusetts,1421,2500051,MA ,Worcester County,25027,25,1,1,1
ABC UNIFIED,California,18081,601620,CA ,Los Angeles County,6037,6,31,0,31
ABERDEEN DISTRICT,Idaho,643,1600030,ID ,Bingham County,16011,16,3,0,3
ABERDEEN SCHOOL DIST,Mississippi,965,2800360,MS ,Monroe County,28095,28,3,0,3
ABERDEEN SCHOOL DISTRICT,Washington,3274,5300030,WA ,Grays Harbor County,53027,53,13,0,13
ABERDEEN SCHOOL DISTRICT 06-1,South Dakota,4263,4602070,SD ,Brown County,46013,46,10,,10
ABERNATHY ISD,Texas,812,4807410,TX ,Hale County,48189,48,4,0,4
ABILENE,Kansas,1469,2003180,KS ,Dickinson County,20041,20,6,0,6
ABILENE ISD,Texas,14652,4807440,TX ,Taylor County,48441,48,28,0,28
ABINGDON-AVON CUSD 276,Illinois,901,1701413,IL ,Knox County,17095,17,4,0,4
ABINGTON,Massachusetts,2133,2501650,MA ,Plymouth County,25023,25,5,0,5
ABINGTON HEIGHTS SD,Pennsylvania,3461,4202010,PA ,Lackawanna County,42069,42,6,0,6
ABINGTON SD,Pennsylvania,8608,4202040,PA ,Montgomery County,42091,42,9,0,9
ABLE CHARTER DISTRICT,CALIFORNIA,1191,601628,CA ,San Joaquin County,6077,6,1,1,1
ABQ SCHOOL OF EXCELLENCE,New Mexico,942,3500122,NM ,Bernalillo County,35001,35,1,1,1
ABQ SIGN LANGUAGE ACADEMY,New Mexico,146,3500123,NM ,Bernalillo County,35001,35,1,1,1
ABSAROKEE ELEM,Montana,125,3001710,MT ,Stillwater County,30095,30,2,,2
ABSAROKEE H S,Montana,79,3001740,MT ,Stillwater County,30095,30,1,,1
ABSECON PUBLIC SCHOOLS DISTRICT,New Jersey,936,3400660,NJ ,Atlantic County,34001,34,2,0,2
